% Model,COMSOL_plot_Vext.mph
% Version,COMSOL 5.4.0.295
% Date,"Jul 16 2020, 15:23"
% Dimension,2
% Nodes,40401
% Expressions,1
% Description,Electric potential
% Length unit,m
% R,Z,V (V)
1.4400E-4,2.0000E-6,0.0030883
1.4500E-4,2.0000E-6,0.0030480
1.4600E-4,2.0000E-6,0.0030083
1.4700E-4,2.0000E-6,0.0029693
1.4800E-4,2.0000E-6,0.0029310
1.4900E-4,2.0000E-6,0.0028933
1.5000E-4,2.0000E-6,0.0028561
1.5100E-4,2.0000E-6,0.0028195
1.5200E-4,2.0000E-6,0.0027835
1.5300E-4,2.0000E-6,0.0027481
1.5400E-4,2.0000E-6,0.0027132
1.5500E-4,2.0000E-6,0.0026789
1.5600E-4,2.0000E-6,0.0026451
1.5700E-4,2.0000E-6,0.0026118
1.5800E-4,2.0000E-6,0.0025790
1.5900E-4,2.0000E-6,0.0025467
1.6000E-4,2.0000E-6,0.0025149
1.6100E-4,2.0000E-6,0.0024837
1.6200E-4,2.0000E-6,0.0024530
1.6300E-4,2.0000E-6,0.0024226
1.6400E-4,2.0000E-6,0.0023927
1.6500E-4,2.0000E-6,0.0023632
1.6600E-4,2.0000E-6,0.0023343
1.6700E-4,2.0000E-6,0.0023058
1.6800E-4,2.0000E-6,0.0022776
1.6900E-4,2.0000E-6,0.0022499
1.7000E-4,2.0000E-6,0.0022226
1.7100E-4,2.0000E-6,0.0021956
1.7200E-4,2.0000E-6,0.0021691
1.7300E-4,2.0000E-6,0.0021429
1.7400E-4,2.0000E-6,0.0021171
1.7500E-4,2.0000E-6,0.0020917
1.7600E-4,2.0000E-6,0.0020668
1.7700E-4,2.0000E-6,0.0020422
1.7800E-4,2.0000E-6,0.0020180
1.7900E-4,2.0000E-6,0.0019940
1.8000E-4,2.0000E-6,0.0019703
1.8100E-4,2.0000E-6,0.0019470
1.8200E-4,2.0000E-6,0.0019242
1.8300E-4,2.0000E-6,0.0019017
1.8400E-4,2.0000E-6,0.0018794
1.8500E-4,2.0000E-6,0.0018574
1.8600E-4,2.0000E-6,0.0018358
1.8700E-4,2.0000E-6,0.0018144
1.8800E-4,2.0000E-6,0.0017933
1.8900E-4,2.0000E-6,0.0017725
1.9000E-4,2.0000E-6,0.0017519
1.9100E-4,2.0000E-6,0.0017317
1.9200E-4,2.0000E-6,0.0017117
1.9300E-4,2.0000E-6,0.0016921
1.9400E-4,2.0000E-6,0.0016727
1.9500E-4,2.0000E-6,0.0016536
1.9600E-4,2.0000E-6,0.0016348
1.9700E-4,2.0000E-6,0.0016163
1.9800E-4,2.0000E-6,0.0015981
1.9900E-4,2.0000E-6,0.0015799
2.0000E-4,2.0000E-6,0.0015620
0.0000,3.0000E-6,0.10113
1.0000E-6,3.0000E-6,0.10099
2.0000E-6,3.0000E-6,0.10059
3.0000E-6,3.0000E-6,0.099916
4.0000E-6,3.0000E-6,0.098954
5.0000E-6,3.0000E-6,0.097707
6.0000E-6,3.0000E-6,0.096175
7.0000E-6,3.0000E-6,0.094323
8.0000E-6,3.0000E-6,0.092134
9.0000E-6,3.0000E-6,0.089634
1.0000E-5,3.0000E-6,0.086726
1.1000E-5,3.0000E-6,0.083429
1.2000E-5,3.0000E-6,0.079776
1.3000E-5,3.0000E-6,0.075640
1.4000E-5,3.0000E-6,0.071193
1.5000E-5,3.0000E-6,0.066487
1.6000E-5,3.0000E-6,0.061879
1.7000E-5,3.0000E-6,0.057611
1.8000E-5,3.0000E-6,0.053695
1.9000E-5,3.0000E-6,0.050275
2.0000E-5,3.0000E-6,0.047217
2.1000E-5,3.0000E-6,0.044463
2.2000E-5,3.0000E-6,0.042020
2.3000E-5,3.0000E-6,0.039813
2.4000E-5,3.0000E-6,0.037809
2.5000E-5,3.0000E-6,0.035994
2.6000E-5,3.0000E-6,0.034331
2.7000E-5,3.0000E-6,0.032804
2.8000E-5,3.0000E-6,0.031400
2.9000E-5,3.0000E-6,0.030101
3.0000E-5,3.0000E-6,0.028896
3.1000E-5,3.0000E-6,0.027777
3.2000E-5,3.0000E-6,0.026733
3.3000E-5,3.0000E-6,0.025756
3.4000E-5,3.0000E-6,0.024842
3.5000E-5,3.0000E-6,0.023983
3.6000E-5,3.0000E-6,0.023174
3.7000E-5,3.0000E-6,0.022413
3.8000E-5,3.0000E-6,0.021693
3.9000E-5,3.0000E-6,0.021013
4.0000E-5,3.0000E-6,0.020368
4.1000E-5,3.0000E-6,0.019756
